product_name,brands,price
Pistachios,Gigaclub,212.36
Herbal Tea Set,Plambee,494.84
Outdoor Adventure Kit,Twitterwire,778.16
Elegant Lace Dress,Realfire,774.92
Leather Crossbody Bag,Kanoodle,992.57
Veggie Burger Patties,Youspan,881.84
Chocolate Protein Powder,Myworks,110.51
Electric Wax Warmer,Eabox,672.85
Throw Pillow Covers,Dynabox,166.91
Thai Peanut Noodles,Gabspot,790.14
Chocolate Chip Energy Balls,Skilith,962.41
Personal Safety Alarm,Leexo,592.31
Veggie Lovers Pizza,Kare,920.98
Honey BBQ Riblets,Demivee,248.69
Hair Dryer,Edgeclub,549.39
Magnetic Whiteboard,Browsetype,669.47
Harvest Grain Salad,Fivespan,197.6
Gingerbread House Kit,Tagcat,951.65
Overnight Duffle Bag,Riffwire,396.75
Smoked Paprika,Centizu,996.74
Kombucha Drink,Trudoo,672.55
Vegetable Spring Rolls,Flipopia,191.34
Maple Bacon Popcorn,Jayo,810.18
Bamboo Utensil Holder,Snaptags,703.42
Electric Heating Pad,Linkbridge,393.63
Cacao Nibs,Fivechat,163.63
Hibiscus Tea Bags,Rhyzio,433.09
Workstation Laptop Stand,Ailane,672.27
Homemade Salsa,Trudeo,125.22
Almond Milk Yogurt,Wordify,694.61
Adjustable Pet Grooming Table,Reallinks,88.37
Suction Cup Hooks,Jatri,239.02
Peach Fruit Cups,Digitube,61.08
Heat-Resistant Silicone Mat,Meevee,660.33
Sculpting Kit,Kayveo,155.15
Baked Mac and Cheese,Trunyx,238.38
Spice Rack,Vinder,830.08
Honey mustard chicken tenders,Eire,274.02
Scented Candle Set,Devpulse,554.0
Spinach and Cheese Quiche,Katz,704.02
Electric Opener for Jars and Bottles,Shuffledrive,789.9
French Bread,Topiclounge,357.95
Chocolate Almond Milk,Centizu,84.03
Chic Ankle Strap Heels,Kwideo,336.53
Garlic Breadsticks,Fatz,39.66
Satin Slip Dress,Kwilith,665.03
Solar Power Bank,Lazzy,90.25
Black Bean Spaghetti,Eadel,741.16
Smartphone Hand Grip,Jabbersphere,448.42
Whole Grain Cereal,Quatz,958.46
Vegetable Samosas,Yodel,527.39
Butternut Squash Ravioli,Voonte,945.4
Stainless Steel Water Bottle,Wikido,117.63
Electric Stir Fry Pan,Flashspan,868.13
Inflatable Pool Float,Lazzy,321.49
Pumpkin Spice Coffee,Divape,123.82
Ricotta Cheese,Kanoodle,943.03
Set of Silicone Baking Molds,Yodo,387.54
Blueberry Oatmeal Cups,Meevee,292.39
LED Strip Lights Kit,Brainbox,752.2
Fashionable Scarves Set,Topicstorm,163.61
Glass Food Containers,Tagcat,961.1
Pepperoni Pizza Rolls,Feednation,497.2
Pressure Washer Accessories Kit,Oba,933.33
Self-Cleaning Water Bottle,Rhyzio,949.17
Maple Pecan Granola,Mybuzz,424.77
Garden Hoses with Expandable Features,Topdrive,698.67
Folding Backpack Chair,Gigazoom,416.63
Toilet Paper (12 rolls),Oodoo,187.56
A-Line Skirt,Katz,84.49
Portable Leaf Blower,Pixoboo,675.54
Cabbage,Vipe,473.41
Elegant Lace Dress,Photojam,668.62
Multi-Purpose Plant Care Tool,Katz,955.71
Teriyaki Chicken Wings,BlogXS,785.46
Sesame Garlic Stir-Fry Sauce,Shuffledrive,42.32
Kale & Quinoa Salad Mix,Tagtune,14.09
Sourdough Bread,Thoughtbeat,376.53
Balsamic Vinaigrette,Yotz,491.07
Zucchini Noodles,Jabbersphere,482.13
Chiffon Blouse,Gigashots,842.24
Weighted Jump Rope with Counter,Skyba,337.35
Non-Stick Crepe Pan,Ainyx,687.68
Basketball,Photobug,505.97
Electric Razor,Janyx,792.12
Non-Stick Grill Mat,Zooxo,923.57
Cocktail Shaker and Mixing Glass Set,Gabtune,574.9
Garden Vegetable Soup,Dabjam,79.69
